iter,gru_units,cnn_filters,dropout,learning_rate,batch_size,val_auc,val_f1,n_epochs
1,119,43,0.28949083528702735,0.002045217204876847,41,0.9808772802352905,0.9366515837104072,11
2,38,69,0.4681478186324546,0.0027301558170050727,69,0.979088306427002,0.9335585585585585,14
3,107,74,0.23532008959571704,0.009447372254386407,73,0.978094220161438,0.9259694477085781,7
4,53,41,0.372459356938461,0.0004913293555815678,40,0.9810611605644226,0.9405772495755518,10
5,86,110,0.250147173319444,0.008246144881044396,78,0.9777262210845947,0.9266862170087976,10
6,107,85,0.2706121518733245,0.0004129123543999347,93,0.9813966155052185,0.9380925822643614,11
7,54,118,0.10132311116585663,0.0016868857296348872,85,0.9819240570068359,0.9346443030653557,8
8,96,34,0.17745102491690626,0.0029585878796865557,61,0.9810390472412109,0.9299883313885647,8
9,97,90,0.2987945189265947,0.004877171112123711,81,0.9804111123085022,0.9324247586598523,9
10,127,121,0.3831814458131404,0.003166107061070048,56,0.9807876348495483,0.935374149659864,16
11,100,50,0.32004944895789095,0.0016263718490720097,104,0.9806226491928101,0.9307737056428156,9
12,102,35,0.26930548295011286,0.00011654410595090196,80,0.9806011319160461,0.9352272727272727,22
13,65,77,0.28721002018988384,0.003917328047213648,66,0.9826863408088684,0.932146829810901,13
14,74,122,0.35787291871317545,1e-05,53,0.9741601347923279,0.9253731343283582,30
15,85,37,0.1,0.0028984696756478496,32,0.9801725149154663,0.9299883313885647,7
16,128,69,0.272044569323183,0.002040275504235046,32,0.9792152047157288,0.9288214702450408,5
17,73,67,0.320210343326505,0.0007151845802922798,90,0.979543924331665,0.9252501471453797,11
18,61,102,0.1,0.0009102353212621701,109,0.9813652634620667,0.9376786735277302,11
19,80,95,0.4726858224316917,1e-05,124,0.9650740623474121,0.9070975187536064,30
20,128,69,0.2541138691062936,0.0004588747473048247,128,0.9821116924285889,0.9345686160972785,15
21,122,94,0.24896011566183365,0.0011680849367235173,69,0.9807612895965576,0.939150401836969,8
22,87,69,0.30186882004965937,1e-05,128,0.9667088985443115,0.9109826589595376,30
23,64,68,0.19497712571302483,0.002928840586454618,74,0.9805827736854553,0.9380329732802729,7
24,75,128,0.14261546443242315,0.0011605811749637095,39,0.9828395843505859,0.9336307863915226,13
25,62,95,0.27324448503450816,0.0010494441655554568,32,0.9809985756874084,0.937641723356009,10
26,100,102,0.255774519169862,0.0013486496555316912,120,0.9826280474662781,0.9409817981246553,13
27,121,122,0.1,0.0012737047935289694,32,0.9822618961334229,0.9316101238556812,11
28,87,111,0.12604699177174086,0.0027717918705618978,128,0.9811469912528992,0.9356789444749862,13
29,89,80,0.37660631364672686,0.0034564470103117736,128,0.979839563369751,0.9328235936646642,16
30,54,58,0.25565289924588863,0.001974894350843682,125,0.9799609780311584,0.927144535840188,11
31,81,123,0.1159004143187623,0.002425707904355988,71,0.9802994728088379,0.931554524361949,7
32,77,105,0.15018255554753443,0.004919292193523591,77,0.9799026250839233,0.9330254041570438,9
33,128,115,0.141794091122886,1e-05,128,0.9745385050773621,0.9200690051753881,30
34,120,85,0.29694514991335536,0.005091513709443131,100,0.9806453585624695,0.9364358683314415,10
35,87,128,0.1909173415924986,0.0020973789534693586,37,0.9784094095230103,0.9331026528258363,5
36,82,128,0.1810597936101573,0.00457123955337244,56,0.9789724349975586,0.9288606130711394,7
37,77,73,0.2898148358613568,0.0023294097051479905,65,0.9796813726425171,0.934323243860651,8
38,78,82,0.38256532074051036,0.0014192717491105927,115,0.9814451336860657,0.9386819484240687,18
39,92,92,0.360007743581334,0.0014974332296845223,99,0.9806134700775146,0.927400468384075,10
40,115,128,0.22368973078750276,0.0014744015250471336,110,0.9836001396179199,0.9168844746471511,17
41,104,128,0.24268383668194757,0.002242351700444144,42,0.9807661771774292,0.9354654483152485,9
42,98,124,0.24354005501020082,0.001540373114008439,79,0.981845498085022,0.935861684327942,14
43,85,83,0.25953785429005066,0.003413919291218043,74,0.9803079962730408,0.9299781181619255,12
44,62,128,0.18966742240957632,0.0028928708268101434,65,0.9784541726112366,0.9346330275229358,7
45,32,70,0.200880650563519,0.0029700960537087846,60,0.9806220531463623,0.9321739130434783,9
46,80,76,0.2712530095080266,0.0021070219293015664,53,0.9802590012550354,0.9317919075144508,10
47,72,71,0.2753478813236368,0.003306012332961405,88,0.9800547361373901,0.9278688524590164,9
48,95,128,0.38400460283913923,0.0024964131203034086,80,0.9790956377983093,0.9283634245777519,7
49,98,128,0.3333429448608956,0.0037975568687565685,32,0.9764966368675232,0.9233490566037735,5
50,69,128,0.21742384890072497,0.0032742114953024496,89,0.9820743203163147,0.9365079365079365,13
51,75,120,0.15422127950139028,0.0017609272416863806,48,0.9786602258682251,0.9398410896708286,8
52,110,116,0.1806553990188923,0.0016914224468326244,57,0.9823907017707825,0.9356125356125357,11
53,96,128,0.2713142651786574,0.0024772469774096743,92,0.9806019067764282,0.935093509350935,12
54,99,97,0.20796029426722518,0.0026763977892433426,55,0.978283703327179,0.9266001174398121,6
55,104,128,0.2258539435837472,0.003367338707655289,71,0.9823588132858276,0.9378468368479467,16
56,128,111,0.19495143553804703,0.0022732240964007393,63,0.9826721549034119,0.9380530973451328,14
57,128,112,0.20148899884706525,0.0015948006764716952,75,0.9837253093719482,0.9411764705882353,20
58,81,101,0.17389536480069145,0.002878954011113982,32,0.9805006980895996,0.9392201834862385,13
59,76,115,0.24729558072903143,0.002224065617968119,72,0.9791747331619263,0.9334875650665124,9
60,70,99,0.22363868754963667,0.002017983768094418,39,0.9806171655654907,0.9349453080023028,7
61,91,128,0.19647364762053854,0.0013136524539991553,88,0.9828193783760071,0.9373576309794989,9
62,85,128,0.1870496872309896,0.0014244947136293968,84,0.9796813726425171,0.9367945823927766,9
63,103,126,0.18584313205782046,0.0008116926892123092,52,0.9817503690719604,0.9298245614035088,8
64,104,106,0.19880412656542587,0.0014449415309222143,101,0.9818952083587646,0.933870040253019,13
65,104,82,0.29877226631130654,0.0012140706114828262,74,0.9798849821090698,0.9315525876460768,9
66,126,117,0.20296226134761483,0.0014625219065104356,91,0.9811286330223083,0.9392898052691867,9
67,97,104,0.13728677030304923,0.0018003100935052203,67,0.9827942848205566,0.9350360910605219,11
68,120,128,0.160935396026209,0.0013471059108128133,86,0.9818241000175476,0.9433748584371461,10
69,107,109,0.14393953790041888,0.001424790123128022,73,0.9817326664924622,0.9366799771819737,11
70,115,111,0.2305557548650172,0.001578676556938453,56,0.9793384671211243,0.9279437609841827,7
71,111,118,0.18410246861835397,0.0013989547035140283,69,0.9794225096702576,0.9235772357723577,9
72,96,121,0.21160490875259538,0.0012973062734422018,97,0.983551025390625,0.936,13
73,90,117,0.20543666458556267,0.0020671706469535043,67,0.9837148189544678,0.9324546952224053,13
74,107,127,0.16475793382132484,0.001505653601822043,81,0.9833413362503052,0.9360986547085202,13
75,116,127,0.18675051407007592,0.0013238063026229036,74,0.9807956218719482,0.9337047353760446,9
76,109,103,0.18832815144278414,0.0014811108882340463,77,0.9810214042663574,0.9198493813878429,11
77,80,116,0.17673382191811518,0.0014728388137747554,70,0.9805110692977905,0.9398969662278192,8
78,85,114,0.21178610606728718,0.0012977234265902852,76,0.9814010262489319,0.9309941520467836,10
79,106,128,0.20314836067075706,0.001205551722795807,78,0.9804203510284424,0.9348571428571428,9
80,127,122,0.23067661338935178,0.0014393995269864005,65,0.9819092154502869,0.934640522875817,9
81,105,118,0.1998293538652214,0.0015675936625268588,93,0.9808832406997681,0.9338565022421524,13
82,109,111,0.19908554243307508,0.0015474125732749047,89,0.9813990592956543,0.9377410468319559,11
83,103,120,0.20339292539254572,0.001561464522047495,76,0.983306884765625,0.9382022471910112,13
84,124,103,0.21205946269550377,0.0018002460126074645,80,0.9811837673187256,0.9362880886426593,13
85,115,112,0.21234514079192046,0.0022492703285773175,88,0.9806674122810364,0.9400230680507498,9
86,124,117,0.19394015283457042,0.001608447351856497,83,0.9815076589584351,0.9410456062291435,13
87,113,119,0.1874833438514498,0.0017653389697831238,81,0.980592668056488,0.9323059988992846,9
88,81,125,0.23178622202296148,0.001757658753680817,84,0.9822741746902466,0.9326424870466321,13
89,106,109,0.21927679773731823,0.0018456016338334637,92,0.9819921851158142,0.9382573571840739,9
90,119,93,0.20815437476750154,0.0016649017729867975,83,0.9818682670593262,0.9360967184801382,9
91,112,120,0.19891776631029515,0.0018059168303816598,84,0.98175048828125,0.9335644136337378,13
92,115,125,0.21609963213907735,0.001707141132492015,83,0.9824000000953674,0.9419718309859155,12
93,113,115,0.21396439999512054,0.0017300515518586274,86,0.9825973510742188,0.9377162629757786,13
94,110,128,0.19349528256960538,0.0016994183088308414,84,0.9835866093635559,0.9392575928008999,14
95,113,121,0.2078726365679792,0.0018321120452697993,93,0.9824661612510681,0.9357266936884772,10
96,121,122,0.2045377083128467,0.0017694341301984818,87,0.9815247654914856,0.9346330275229358,9
97,119,121,0.2025407050046247,0.0018038650857328993,83,0.9816468358039856,0.9392265193370166,12
98,109,120,0.21282278668073404,0.0018166648888225945,91,0.9806785583496094,0.931554524361949,9
99,105,113,0.20704530704131163,0.0017509508256534068,89,0.9821447730064392,0.9278592375366569,10
100,111,119,0.19886526968322302,0.0017867223394661992,83,0.9819725155830383,0.9353348729792148,11
101,111,119,0.21020513140671024,0.0017121242828241111,84,0.9814101457595825,0.9337785197551475,9
102,111,119,0.21020513140671024,0.0017121242828241111,84,0.9827917814254761,0.9345372460496614,13
103,111,119,0.21020513140671024,0.0017121242828241111,84,0.9817002415657043,0.9393939393939394,9
104,111,119,0.21020513140671024,0.0017121242828241111,84,0.9814579486846924,0.9296600234466589,8
105,111,119,0.21020513140671024,0.0017121242828241111,84,0.9821915030479431,0.933184855233853,11
106,111,119,0.21020513140671024,0.0017121242828241111,84,0.9804086089134216,0.9374641422834193,9
107,111,119,0.21020513140671024,0.0017121242828241111,84,0.9810888171195984,0.939120631341601,9
108,111,119,0.21020513140671024,0.0017121242828241111,84,0.9819172620773315,0.9305312317571512,8
109,111,119,0.21020513140671024,0.0017121242828241111,84,0.9838748574256897,0.9419496166484118,19
110,111,119,0.21020513140671024,0.0017121242828241111,84,0.9809728860855103,0.9300813008130081,12
